age,height_cm,weight_kg,nationality_name,overall,potential,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,wage_eur
34,170,72,Argentina,93,93,85,95,70,91,88,96,93,94,91,96,91,80,91,94,95,35,24,6,11,15,14,8,320000.0
32,185,81,Poland,92,92,71,95,90,85,89,85,79,85,70,88,77,79,77,93,82,42,19,15,6,12,8,10,270000.0
36,187,83,Portugal,91,91,87,95,90,80,86,88,81,84,77,88,85,88,86,94,74,32,24,7,11,15,14,11,270000.0
29,175,68,Brazil,91,91,85,83,63,86,86,95,88,87,81,95,93,89,96,89,84,32,29,9,9,15,15,11,270000.0
30,181,70,Belgium,91,91,94,82,55,94,82,88,85,83,93,91,76,76,79,91,78,65,53,15,13,5,10,13,350000.0
28,188,87,Slovenia,91,93,13,11,15,43,13,12,13,14,40,30,43,60,67,88,49,12,18,87,92,78,90,90,130000.0
22,182,73,France,91,95,78,93,72,85,83,93,80,69,71,91,97,97,92,93,83,34,32,13,5,7,11,6,230000.0
35,193,93,Germany,90,90,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,10,11,88,88,91,89,88,86000.0
29,187,85,Germany,90,92,18,14,11,61,14,21,18,12,63,30,38,50,39,86,43,13,10,88,85,88,88,90,250000.0
27,188,89,England,90,90,80,94,86,85,88,83,83,65,86,85,65,74,71,92,70,36,38,8,10,11,14,11,240000.0
30,168,70,France,90,90,68,65,54,82,56,79,49,49,79,81,82,75,82,93,92,93,86,15,12,10,7,10,230000.0
33,185,81,France,89,89,75,90,89,86,86,87,81,73,73,90,77,75,79,91,72,24,18,13,11,5,5,7,350000.0
29,199,96,Belgium,89,91,14,14,13,33,12,13,19,20,35,23,42,52,62,84,45,18,16,84,89,74,86,88,250000.0
28,183,78,Korea Republic,89,89,83,88,68,84,78,87,85,74,74,84,85,90,86,91,78,34,33,11,13,13,6,10,220000.0
29,185,84,Brazil,89,89,58,64,79,84,62,69,62,74,84,79,60,69,61,87,66,88,87,13,14,16,12,12,310000.0
29,193,92,Netherlands,89,89,53,52,87,79,45,70,60,70,86,76,66,88,61,87,53,92,86,13,10,13,11,11,230000.0
29,175,69,Senegal,89,89,78,86,84,84,75,90,77,64,71,88,93,90,93,91,88,42,38,10,10,15,7,14,270000.0
29,175,71,Egypt,89,89,79,91,59,84,81,90,83,69,75,89,89,91,91,92,91,43,41,14,14,9,11,14,270000.0
27,188,86,Brazil,89,91,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,15,8,87,82,93,88,88,200000.0
26,177,75,Germany,89,90,91,68,72,87,69,83,85,61,90,85,77,65,84,88,84,85,79,8,15,7,15,15,160000.0
28,191,91,Brazil,89,90,17,13,29,45,20,27,19,18,44,30,56,47,40,87,37,19,16,86,86,84,90,89,190000.0
22,196,90,Italy,89,93,12,12,12,36,8,28,12,14,34,30,50,55,64,85,38,14,16,91,83,79,85,90,110000.0
35,184,82,Spain,88,88,66,65,92,82,69,65,74,76,83,83,71,69,77,92,66,89,91,11,8,9,7,11,115000.0
34,182,83,Uruguay,88,88,80,93,84,83,90,83,86,82,77,86,76,69,75,92,78,45,38,27,25,31,33,37,135000.0
31,183,76,Germany,88,88,88,77,58,93,82,80,86,84,93,88,55,52,63,90,71,73,60,10,11,13,7,10,310000.0
28,191,94,Belgium,88,88,73,92,89,77,78,83,78,66,70,77,81,87,60,91,52,41,30,8,15,14,7,10,260000.0
34,185,80,Costa Rica,88,88,11,15,11,40,11,24,21,15,37,30,54,53,60,85,61,14,14,89,84,75,87,89,130000.0
26,170,69,England,88,89,79,85,46,83,67,87,79,72,69,86,95,88,94,90,93,53,47,15,12,12,15,9,290000.0
26,179,69,Portugal,88,89,87,83,64,91,87,83,87,87,88,87,77,73,80,91,79,73,65,12,14,15,8,14,250000.0
20,194,94,Norway,88,93,47,94,69,77,88,78,77,62,51,85,82,94,75,88,72,43,30,7,14,13,11,7,110000.0
33,173,70,Argentina,87,87,70,93,78,80,85,86,83,73,64,88,75,68,82,89,90,29,24,13,15,6,11,14,260000.0
34,188,82,France,87,87,13,10,10,50,11,10,11,10,50,34,61,62,55,85,54,10,18,88,83,65,84,90,125000.0
35,172,66,Croatia,87,87,86,72,55,91,76,85,85,78,89,90,76,70,91,88,92,75,71,13,9,7,14,9,190000.0
33,180,69,Argentina,87,87,88,79,51,84,78,88,91,88,82,87,83,83,94,84,76,55,52,10,7,11,12,11,160000.0
31,195,90,Poland,87,87,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,13,12,86,82,73,87,88,105000.0
31,185,76,Germany,87,87,85,88,81,85,84,77,81,59,79,84,66,67,73,94,71,57,46,6,7,11,14,14,140000.0
31,185,85,Italy,87,87,55,91,81,80,85,80,70,51,53,83,84,87,75,90,85,33,32,6,8,15,12,6,125000.0
28,191,84,France,87,87,77,75,74,88,84,88,85,82,92,90,63,77,73,83,67,67,63,5,6,2,4,3,220000.0
28,165,60,Italy,87,87,82,60,57,90,64,91,85,64,89,92,68,60,91,87,94,82,84,12,12,15,15,10,155000.0
27,183,75,Brazil,87,90,68,51,88,84,35,69,58,32,85,79,81,81,69,87,67,89,89,6,6,12,10,13,135000.0
26,189,82,Germany,87,88,75,82,86,86,69,84,76,75,84,87,78,83,76,88,71,85,77,13,8,15,11,9,140000.0
27,177,75,Argentina,87,88,82,85,59,87,88,90,90,88,79,93,88,80,92,80,94,41,39,5,4,4,5,8,160000.0
27,178,64,Scotland,87,88,88,55,67,82,32,81,82,71,76,83,83,85,78,85,74,84,81,11,8,10,7,14,175000.0
24,180,74,Netherlands,87,92,78,72,72,91,70,88,84,64,87,89,80,82,88,88,79,76,77,7,13,10,10,9,210000.0
22,180,69,England,87,92,92,60,69,86,62,78,87,85,90,86,77,80,73,82,73,83,79,14,15,14,6,7,150000.0
21,180,76,England,87,91,82,83,38,87,83,92,84,65,70,90,85,78,91,85,90,39,32,7,11,10,11,13,150000.0
24,187,82,Portugal,87,91,54,29,87,81,32,64,46,48,74,74,57,65,59,87,56,89,85,7,8,13,7,12,170000.0
36,187,85,Italy,86,86,63,33,77,65,45,57,60,31,67,57,67,69,53,80,57,89,88,3,3,2,4,3,88000.0
36,193,92,Slovenia,86,86,12,10,10,42,12,18,20,14,40,21,45,50,47,79,36,10,13,81,81,65,92,87,78000.0
32,191,96,Germany,86,86,65,57,88,82,61,69,66,53,86,79,47,64,61,88,62,90,86,15,6,10,5,6,95000.0
32,170,68,Spain,86,86,85,73,70,85,60,81,80,63,79,85,87,86,90,80,85,78,80,13,15,13,6,13,200000.0
30,174,70,Spain,86,86,78,68,54,90,82,90,85,77,89,92,72,55,91,84,90,71,68,6,11,7,9,13,180000.0
32,189,76,Spain,86,86,62,67,68,87,44,81,66,68,85,86,40,43,67,86,50,82,81,5,8,13,9,13,200000.0
32,182,74,Spain,86,86,86,83,61,92,72,82,88,90,90,86,52,49,63,80,72,70,69,5,9,12,14,8,64000.0
29,197,86,Belgium,86,87,15,15,14,35,13,14,20,13,37,23,44,46,50,83,43,19,17,85,83,80,84,87,88000.0
30,163,59,Italy,86,86,77,76,59,87,74,90,87,86,84,93,90,84,89,79,93,24,22,8,4,14,9,10,125000.0
30,187,89,Senegal,86,86,30,22,84,63,14,69,28,28,63,64,74,87,51,83,34,88,86,7,11,7,13,5,105000.0
28,191,81,France,86,88,42,46,86,78,42,55,46,52,76,78,79,85,62,84,39,88,87,11,11,9,5,14,180000.0
30,179,67,Algeria,86,86,81,81,48,83,76,91,85,78,75,91,84,79,92,81,88,31,22,15,9,13,11,6,220000.0
29,180,77,Spain,86,86,77,89,82,81,81,86,75,62,75,85,80,78,77,89,70,41,41,15,12,7,12,10,73000.0
